Name,Magnitude
Alioth       ,1.77
Angiras      ,1.77
Mizar        ,2.27
Miz0         ,2.27
Vasishtha    ,2.27
Alkaid       ,1.86
Benetnash    ,1.86
Marichi      ,1.86
Al Haud      ,3.18
Talitha      ,3.14
Talitha Borealis ,3.14
Talitha Australis,3.55
Alkaphrah    ,3.55
Tania Borealis ,3.45
Tania Australis,3.05
Alula Borealis ,3.49
Alula Australis,3.79
Muscida     ,3.42
             ,4.76
             ,3.81
             ,4.557
El Kophrah   ,3.72
Taiyangshou  ,3.72
             ,3.01
             ,3.67
             ,4.463
Chalawan     ,5.04
Alcor        ,4.01
Alc0         ,4.01
Arundhati    ,4.01
Saidak       ,4.01
Intercrus   ,5.393
Polaris      ,2.02
Kochab       ,2.08
Pherkad      ,3.002
Yildun       ,4.336
Urodelus     ,4.212
Alifa Al Farkadain,4.274
Farkadain    ,4.274
Pharkadain   ,4.274
             ,4.95
Anwar al Farkadain,4.95
             ,6.38
Pherkad Minor,5.015
Suhail al Muhlif,1.83
Regor      ,1.83
Alsephina    ,1.95
Koo She      ,1.95
Markeb       ,2.473
Alsuhail     ,2.21
Suhail       ,2.21
Peregrini    ,2.69
Alherem    ,2.69
Xestus      ,3.63
Tseen Ke     ,3.45
             ,3.6
             ,4.046
             ,4.14
             ,3.84
             ,3.85
             ,5.027
Spica        ,0.97
Citra        ,0.97
Zavijava     ,3.6
Alaraph      ,3.6
Porrima      ,2.74
Auva         ,3.38
Mineluva     ,3.38
Vindemiatrix ,2.79
Heze         ,3.38
Zaniah       ,3.9
             ,4.397
Syrma        ,4.08
Kang         ,4.21
Khambalia    ,4.52
Rijl al Awwa ,3.88
Ril Alauva   ,3.88
             ,4.04
            ,4.12
             ,4.642
             ,4.88
             ,4.8
             ,4.237
             ,4.844
             ,4.643
             ,4.8
             ,3.73
Lich         ,999.99
Virgo Cluster,999.99
Messier 87 ,8.63
Messier 49 ,12.17
             ,3.99
             ,3.759
           ,3.746
             ,3.99
             ,4.33
             ,4.4
             ,3.944
             ,5.395
Anser        ,4.45
             ,5.436
             ,4.96
GCLiu,999.99
Gal.Pole,0.0
Gal.Pole IAU1958,0.0
Gal.Plane Pole,0.0
Gal.Equ,0.0
Infrared Dragon,0.0
AA11_page_B73,0.0
GCRS00,0.0
Zero2000,0.0
ZerL2000,0.0
Sun Pole,0.0
Test,0.0
NGC 4194,0.0
Gliese 710,9.656
